AreaID,ClassID,county_id,DevCategory,parcel_id,job_spaces,resunits,Acres,sf_res,sf_com,acres_res,acres_com
5,6,2.0,Redevelopable,203.0,1395.3644787292853,145.6658588354466,45.16343164598456,237386.96577977415,796829.7940436532,13.69926131327128,31.464170332713277
5,6,2.0,Remain,53.0,60.95649191461101,226.230273498689,5.460758709622372,534737.1959967588,42344.782402316996,2.895467749360671,2.5652909602617
5,6,2.0,Undevelopable,13.0,0.245208822477,0.0,12.8604380310424,0.0,155.217184628,0.0,0.0
6,6,2.0,Undevelopable,25.0,4680.7617115899675,0.0,125.60956614454369,0.0,4008347.024051934,0.0,0.0
7,2,4.0,Developable,56.0,0.0,0.0,37.056140248538874,0.0,0.0,0.0,0.0
7,2,4.0,Redevelopable,13.0,0.0,2.9894559618223213,9.100439900093862,10714.260102486109,0.0,9.100439900093862,0.0
7,2,4.0,Remain,16.0,0.0,6.6135948722324365,4.508911631584055,24384.884061597742,0.0,4.508911631584055,0.0
7,2,4.0,Undevelopable,22.0,0.0,0.9994405919637916,13.578357285091597,2932.3586968186496,0.0,0.0,0.0
8,4,2.0,Developable,25.0,0.0,0.0,8.155801985928301,0.0,0.0,0.0,0.0
8,4,2.0,Redevelopable,87.0,445.6081013178779,58.29911021625499,21.4520094922203,68972.71094690001,224746.32569867704,5.581816339122601,15.8701931530977
8,4,2.0,Remain,3.0,0.0,27.993140261795,0.4255079879455,28301.37408143,0.0,0.4255079879455,0.0
8,4,2.0,Undevelopable,31.0,5.820675150531001,0.0,18.112620496690838,0.0,3489.0542522719998,0.0,0.0
8,8,2.0,Developable,6.0,0.0,0.0,0.229941707659425,0.0,0.0,0.0,0.0
8,8,2.0,Redevelopable,9.0,28.667012026276,0.0,1.6112802346710997,0.0,17363.343102027,0.0,1.6112802346710997
8,8,2.0,Undevelopable,34.0,125.086456110497,0.0,6.7842094587860835,0.0,79092.360424918,0.0,0.0
9,6,2.0,Developable,34.0,0.0,0.0,5.951510530305509,0.0,0.0,0.0,0.0
9,6,2.0,Redevelopable,119.0,672.1087661110539,56.64065193848482,38.01765673718217,67825.0485905481,388930.4516113332,6.310859411754864,31.70679732542731
9,6,2.0,Remain,34.0,54.86834468097099,128.18529087287504,4.3590843957196,131349.19747816402,45571.164478227394,2.4707352640569002,1.8883491316627004
9,6,2.0,Undevelopable,42.0,4.754765937748,0.0,17.025310693433212,0.0,4635.896789304,0.0,0.0
10,4,2.0,Developable,41.0,0.0,0.0,59.97587045965879,0.0,0.0,0.0,0.0
10,4,2.0,Redevelopable,7.0,236.43620004269997,259.094143775,20.78613505193,127023.267983,121577.36727743,8.11150046557,12.67463458636
10,4,2.0,Remain,50.0,89.5137672183,312.564520791819,16.29033785649017,336408.45823585516,56662.2146492,13.415988661200167,2.87434919529
10,4,2.0,Undevelopable,21.0,0.0,0.0,19.662909767598098,0.0,0.0,0.0,0.0
10,8,2.0,Developable,149.0,0.0,0.0,152.2086293203568,0.0,0.0,0.0,0.0
10,8,2.0,Redevelopable,93.0,1999.2368500178131,98.38656557794428,81.2045903744883,67107.9045965809,1231210.96061786,14.221037716852617,66.98355265763567
10,8,2.0,Remain,233.0,433.33640493552,399.88162593650947,42.23796001136234,625301.8616010457,298480.9360184499,22.27310937508637,19.964850636276
10,8,2.0,Undevelopable,76.0,0.0,4.4903729952989995,106.66961963222674,7516.2192985599995,0.0,0.0,0.0
